National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (711) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""West Virginia"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
540045001186,WV-2900000-29210,5400450,WV-2900000,PK,04,A. T. ALLISON ELEMENTARY SCHOOL,HANCOCK COUNTY SCHOOLS,600 RAILROAD STREET,CHESTER,WV,26034,,(304)387-1915,†,No,Yes,Yes,348.00000,28.00000,12.4000000,–,–
540123000977,WV-7400000-74701,5401230,WV-7400000,09,12,ACADEMY OF CAREERS AND TECHNOLOGY,RALEIGH COUNTY SCHOOLS,390 STANAFORD ROAD,BECKLEY,WV,25801,,(304)256-4615,†,No,No,†,–,18.00000,†,–,–
540051101471,WV-3400000-34138,5400511,WV-3400000,07,12,ACADEMY PROGRAMS,INSTITUTIONAL EDUCATIONAL PROGRAMS,#5 CROSSWIND DRIVE,FAIRMONT,WV,26554,,(304)363-3348,†,No,No,†,65.00000,–,†,–,–
540051000282,WV-3300000-33201,5400510,WV-3300000,PK,05,ADAMSTON ELEMENTARY SCHOOL,HARRISON COUNTY SCHOOLS,1636 W PIKE ST,CLARKSBURG,WV,26301,,(304)326-7070,†,No,Yes,Yes,222.00000,28.06000,7.9000000,–,–
